,0,1,2,3,4,5,6
105,2011.5.5 (목),삼성,롯데,7:0,7,0,사직
106,2011.5.6 (금),KIA,SK,1:2,1,2,문학
107,2011.5.6 (금),LG,삼성,9:5,9,5,대구
108,2011.5.6 (금),롯데,두산,10:6,10,6,잠실
109,2011.5.6 (금),넥센,한화,8:9,8,9,대전
110,2011.5.7 (토),KIA,SK,6:2,6,2,문학
111,2011.5.7 (토),LG,삼성,3:6,3,6,대구
112,2011.5.7 (토),롯데,두산,8:7,8,7,잠실
113,2011.5.7 (토),넥센,한화,8:2,8,2,대전
114,2011.5.8 (일),KIA,SK,2:1,2,1,문학
115,2011.5.8 (일),LG,삼성,8:4,8,4,대구
116,2011.5.8 (일),롯데,두산,0:5,0,5,잠실
117,2011.5.8 (일),넥센,한화,7:11,7,11,대전
118,2011.5.10 (화),두산,KIA,0:2,0,2,광주
119,2011.5.10 (화),SK,삼성,1:2,1,2,대구
120,2011.5.10 (화),한화,LG,5:9,5,9,잠실
121,2011.5.10 (화),넥센,롯데,3:4,3,4,사직
122,2011.5.11 (수),한화,LG,2:1,2,1,잠실
123,2011.5.12 (목),한화,LG,0:1,0,1,잠실
124,2011.5.12 (목),두산,KIA,4:6,4,6,광주
125,2011.5.12 (목),SK,삼성,6:4,6,4,대구
126,2011.5.12 (목),넥센,롯데,0:4,0,4,사직
127,2011.5.13 (금),KIA,롯데,8:6,8,6,사직
128,2011.5.13 (금),LG,넥센,3:2,3,2,목동
129,2011.5.13 (금),SK,두산,4:2,4,2,잠실
130,2011.5.13 (금),삼성,한화,1:5,1,5,대전
131,2011.5.14 (토),KIA,롯데,3:8,3,8,사직
132,2011.5.14 (토),SK,두산,0:2,0,2,잠실
133,2011.5.14 (토),삼성,한화,5:4,5,4,대전
134,2011.5.14 (토),LG,넥센,5:6,5,6,목동
135,2011.5.15 (일),KIA,롯데,4:5,4,5,사직
136,2011.5.15 (일),SK,두산,5:0,5,0,잠실
137,2011.5.15 (일),삼성,한화,2:5,2,5,대전
138,2011.5.15 (일),LG,넥센,8:0,8,0,목동
139,2011.5.17 (화),한화,두산,1:8,1,8,잠실
140,2011.5.17 (화),LG,KIA,0:11,0,11,광주
141,2011.5.17 (화),롯데,SK,8:2,8,2,문학
142,2011.5.17 (화),넥센,삼성,5:11,5,11,대구
143,2011.5.18 (수),한화,두산,9:7,9,7,잠실
144,2011.5.18 (수),LG,KIA,3:7,3,7,광주
145,2011.5.18 (수),롯데,SK,2:4,2,4,문학
146,2011.5.18 (수),넥센,삼성,0:4,0,4,대구
147,2011.5.19 (목),한화,두산,2:0,2,0,잠실
148,2011.5.19 (목),LG,KIA,10:2,10,2,광주
149,2011.5.19 (목),롯데,SK,3:2,3,2,문학
150,2011.5.19 (목),넥센,삼성,5:6,5,6,대구
151,2011.5.20 (금),한화,KIA,5:0,5,0,군산
152,2011.5.20 (금),두산,삼성,4:5,4,5,대구
153,2011.5.21 (토),한화,KIA,6:4,6,4,군산
154,2011.5.21 (토),롯데,LG,4:5,4,5,잠실
155,2011.5.21 (토),두산,삼성,7:7,7,7,대구
156,2011.5.22 (일),한화,KIA,1:13,1,13,군산
